50
Mercedes-Benz;Germany;3778354;White;1;1;0;0;0
BMW;Germany;2905913;Silver;2;2004;355189;17;2
Ferrari;Italy;4013979;Red;2;1979;960570;9;8
Peugeot;France;1096223;Black;2;1986;503392;13;6
Toyota;Japan;4101780;Purple;2;1976;369993;14;8
Audi;Germany;795917;White;1;5;0;0;0
Volkswagen;Germany;2015107;Navy;1;4;0;0;0
Bugatti;Italy;2192636;Orange;1;3;0;0;0
Lamborghini;Italy;2417786;Black;1;2;0;0;0
Pagani;Italy;1794936;Navy;2;2006;36092;10;1
Aston-Martin;UK;2047566;Yellow;2;1981;243563;6;10
Nissan;Japan;2442989;Yellow;2;2019;978541;6;10
Hyundai;South Korea;3019472;White;1;4;0;0;0
Mitsubishi;Japan;1414916;Orange;1;4;0;0;0
Chevrolet;USA;4551156;Silver;2;1985;529383;12;8
Rolls-Royce;UK;137350;Navy;2;1973;477042;15;10
Porsche;Germany;2414642;Silver;1;1;0;0;0
VAZ;Russia;466943;Yellow;1;2;0;0;0
Maserati;Italy;2813407;Red;2;2018;68129;12;1
Renault;France;4538924;Yellow;2;1965;180606;13;4
Ferrari;Italy;3453353;Orange;1;1;0;0;0
Nissan;Japan;2123756;Silver;1;3;0;0;0
Ferrari;Italy;1241971;Silver;2;1979;960130;10;3
Nissan;Japan;2721466;Red;1;2;0;0;0
Hyundai;South Korea;4731712;Red;2;1982;745504;12;6
Chevrolet;USA;2441876;Yellow;2;1967;581770;4;1
Aston-Martin;UK;159869;Silver;1;4;0;0;0
Volkswagen;Germany;1008629;Purple;1;4;0;0;0
Mercedes-Benz;Germany;1196184;Red;1;2;0;0;0
Peugeot;France;2395984;White;1;3;0;0;0
Bugatti;Italy;3094093;Blue;1;5;0;0;0
Ferrari;Italy;2908835;Magenta;1;2;0;0;0
Mercedes-Benz;Germany;2641253;Navy;2;2000;416686;15;5
Rolls-Royce;UK;4474913;Yellow;1;1;0;0;0
Volkswagen;Germany;589193;Orange;2;2006;340519;18;9
Lamborghini;Italy;2616065;Red;1;1;0;0;0
Mercedes-Benz;Germany;628991;Black;1;4;0;0;0
VAZ;Russia;4039607;Silver;1;5;0;0;0
Peugeot;France;3922750;Purple;1;1;0;0;0
Audi;Germany;1709341;Purple;1;1;0;0;0
Mitsubishi;Japan;1514025;Red;1;1;0;0;0
Toyota;Japan;426120;Blue;1;1;0;0;0
Renault;France;3962567;Navy;2;2013;237083;8;2
Renault;France;2947764;Purple;2;2006;604736;10;7
Bugatti;Italy;787608;Navy;1;1;0;0;0
Bugatti;Italy;4640628;Purple;1;3;0;0;0
VAZ;Russia;4043944;Red;2;1960;297256;18;3
Audi;Germany;4634492;Black;2;1976;204370;3;1
Rolls-Royce;UK;3072494;Navy;1;1;0;0;0
Volkswagen;Germany;3683051;Magenta;2;2011;583691;11;4

;;;;;;;;
;;;;;;;;
Red;;;;;;;;
Black;;;;;;;;
White;;;;;;;;
Yellow;;;;;;;;
Blue;;;;;;;;
Navy;;;;;;;;
Magenta;;;;;;;;
Orange;;;;;;;;
Silver;;;;;;;;
Purple;;;;;;;;
Green;;;;;;;;
